CODE_HALL,CODE_HEAT,CODE_SEC,CODE_STR,CONVENIENT_FACILITY,EDUCATION_FACILITY,KAPTD_PCNT,KAPTD_PCNTU,KAPTD_WTIMEBUS,KAPTD_WTIMESUB,KAPT_DONG_CNT,KAPT_MGR_CNT,KAPTD_ECNTP,KAPT_USEDATE,SUBWAY_LINE,SUBWAY_STATION,WELFARE_FACILITY
A70071501,계단식,개별난방,위탁관리,철골철근콘크리트구조,"관공서(중앙파출소, 성내2동 주민센터, 대구시 동부 교육청, 남산지구대) 병원(동산병원) 백화점(동아쇼핑, 현대백화점) 대형상가(서문시장) 공원(달성공원)","초등학교(남산초,) 중학교(성명여중) 고등학교(신명고) 대학교(계명대 의과대학)",7,605,5분이내,5분이내,2,5,5,2007-10-09,"1호선, 2호선",반월당,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소"
A70041301,계단식,개별난방,위탁관리,철근콘크리트구조,"관공서(중구청,동인동사무소,삼덕동우체국,동인3가파출소,국민연금관리공단남대구지사) 병원(경북의대부속병원) 백화점(대백프라자) 대형상가(동부시장) 공원(국채보상기념공원)","초등학교(사대부초,동덕초,동인초,삼덕초) 중학교(대구중앙중,신명여중) 고등학교(남산고,중앙경영정보고) 대학교(경대의대,경대의대보건대학원,경대치대)",8,930,5분이내,5분이내,7,6,14,2013-04-03,2호선,경대병원,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소"
A70076102,계단식,중앙난방,위탁관리,철근콘크리트구조,"관공서(국민연금관리공단남대구지사,대구광역시교육위원회,대봉동사무소,대봉우체국,대봉치안센터) 병원(인제병원) 백화점(대백프라자) 공원(유원지질) 기타(대봉도서관)","초등학교(동덕초,삼덕초,대봉초) 중학교(신명여중) 고등학교(남산고) 대학교(경대치대)",713,0,5분이내,10~15분이내,7,8,27,1986-12-05,2호선,경대병원,"관리사무소, 노인정, 어린이놀이터, 자전거보관소"
A70081003,계단식,개별난방,위탁관리,철근콘크리트구조,"관공서(대봉도서관,대구동부교육청,시립중앙도서관) 병원(경대치과병원) 백화점(대구백화점,동아쇼핑) 대형상가(갤러리존) 공원(국채보상공원,대구향교)","초등학교(대구초,경대사대부속초,삼덕초) 중학교(경대사대부속중,제일여중,신명여중) 고등학교(경대사대부속고,남산고) 대학교(경북대치대,경북대의대)",0,1270,5분이내,5분이내,7,14,16,2007-03-23,2호선,경대병원역,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타"
A10027678,계단식,개별난방,위탁관리,철근콘크리트구조,-,-,102,400,5분이내,5~10분이내,6,5,10,2015-11-25,2호선,대구2호선,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소"
A70081001,복도식,개별난방,자치관리,철근콘크리트구조,"관공서(대봉동사무소,대봉우체국,대봉치안센터) 병원(인제병원,경대치과병원) 백화점(대백프라자) 대형상가(남문시장)","초등학교(영선초,삼덕초,동인초) 중학교(경북대사범부속중,신명여중,제일중) 고등학교(경북여고,남산고,경북대사범부속고) 대학교(경대의과대학,경대의과대학보건대학원)",87,0,5분이내,5분이내,2,1,4,1978-11-18,2호선,경대병원,"관리사무소, 어린이놀이터, 자전거보관소"
A70081201,계단식,개별난방,위탁관리,철근콘크리트구조,"관공서(대봉동사무소,대봉우체국,대봉치안센터) 병원(남부보건소) 백화점(대백프라자) 대형상가(남문시장) 기타(대구외국인학교,건들바위)","초등학교(대구초,경북대사범부속초,명덕초,영선초) 중학교(신명여중,제일중,경북대사범부속중) 고등학교(경북대사범부속고,남산고,경북여고) 대학교(경대치대)",123,181,5~10분이내,5분이내,3,3,11,2006-05-22,3호선,명덕,"관리사무소, 노인정, 어린이놀이터, 자전거보관소"
A70080001,복도식,개별난방,자치관리,철근콘크리트구조,"관공서(교동119안전센터,대구역전우체국, 대구시청,중구청) 병원(경북대학교 병원) 기타(번개시장)",대학교(경북대학교 의대),0,218,10~15분이내,5~10분이내,1,4,0,2014-01-21,1호선,-,관리사무소
A70011101,복도식,개별난방,자치관리,철근콘크리트구조,"관공서(대구광역시청,대구세무서,중부경찰서,대구우체국,대구지방병무청) 병원(곽병원) 백화점(롯데백화점,동아백화점) 대형상가(칠성시장) 공원(국채보상기념공원) 기타(아미고호텔,대구역)","초등학교(옥산초,종로초) 중학교(경명여중) 고등학교(경명여고)",80,76,5분이내,5~10분이내,1,2,2,1985-07-15,1호선,대구,"관리사무소, 노인정, 자전거보관소"
A70044004,혼합식,개별난방,위탁관리,철근콘크리트구조,"관공서(대구도시가스,동사무소,계명대학우체국,대구도시가스,대구중부소방서) 병원(동산의료원, 한독병원) 대형상가(서문시장) 기타(프린스호텔,대구보명학교,대구영화학교,대구보건학교,영화맹아학교)","초등학교(계성초,남산초,내당초) 중학교(구남중,계성중,경구중,신명여중) 고등학교(구남여자경영정보고,계성고,경북공업고,신명고 동성고) 대학교(계명대,대구대,대구가톨릭대,대구가톨릭대학원)",67,798,5분이내,5~10분이내,8,6,0,2005-04-27,2호선,반고개,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소"
