거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"    14,500",2007,2007, 동인동1가,삼승슈퍼타워,8,1~10,83.5,362,27110,7
"    15,300",2007,2007, 동인동1가,삼승슈퍼타워,8,21~31,83.5,362,27110,14
"    16,920",2007,2007, 동인동1가,삼승슈퍼타워,8,21~31,83.5,362,27110,11
"    16,000",2006,2007, 봉산동,봉산뜨란채,8,1~10,75.95,110,27110,3
"     9,200",1975,2007, 수동,희도맨션,8,1~10,101.26,101,27110,8
"     5,800",1985,2007, 태평로1가,태평라이프,8,1~10,54.6,1-187,27110,8
"     5,500",1985,2007, 태평로1가,태평라이프,8,1~10,54.6,1-187,27110,6
"     5,100",1976,2007, 도원동,도원,8,1~10,38.91,3-5,27110,2
"    12,500",2007,2007, 동산동,석우리치타운,8,1~10,81.9,5-2,27110,4
"    12,500",2007,2007, 동산동,석우리치타운,8,11~20,81.9,5-2,27110,3
"    43,000",2006,2007, 대신동,태왕아너스스카이,8,21~31,191.39,305-1,27110,8
"     9,500",1985,2007, 대신동,동서,8,21~31,65.06,1450,27110,4
"     7,700",1984,2007, 달성동,금오맨션,8,21~31,78,118-3,27110,4
"    25,000",1993,2007, 남산동,보성황실타운,8,1~10,163.72,2466-1,27110,3
"     4,050",1992,2007, 남산동,까치,8,1~10,33.06,2482-1,27110,5
"     8,850",1992,2007, 남산동,송림맨션,8,11~20,59.99,2434,27110,2
"     7,000",1993,2007, 남산동,보성황실타운,8,11~20,59.96,2466-1,27110,10
"     9,500",1993,2007, 남산동,보성황실타운,8,11~20,59.96,2466-1,27110,3
"     9,400",1992,2007, 남산동,송림맨션,8,21~31,59.99,2434,27110,13
"    31,668",2006,2007, 남산동,허브스카이,8,21~31,99.92,654-1,27110,17
"    22,936",2006,2007, 남산동,허브스카이,8,21~31,84.88,654-1,27110,6
"    10,450",2000,2007, 대봉동,아트빌,8,1~10,78.58,44-13,27110,4
"    19,000",1986,2007, 대봉동,청운맨션,8,11~20,128.07,44-10,27110,4
"    17,400",1986,2007, 대봉동,청운맨션,8,21~31,84.93,44-10,27110,11
"    22,700",2007,2007, 대봉동,센트로팰리스,8,21~31,80.71,60-10,27110,18
"    14,000",2007,2007, 동인동1가,삼승슈퍼타워,9,1~10,80.03,362,27110,9
"    17,000",2007,2007, 동인동1가,삼승슈퍼타워,9,1~10,83.5,362,27110,10
"    18,500",2007,2007, 동인동1가,삼승슈퍼타워,9,11~20,83.5,362,27110,10
"     6,800",1985,2007, 태평로1가,태평라이프,9,1~10,54.6,1-187,27110,7
"    10,550",1986,2007, 동산동,동산맨션,9,1~10,84.87,357,27110,7
"    12,500",2007,2007, 동산동,석우리치타운,9,21~30,81.9,5-2,27110,5
"    12,500",2007,2007, 동산동,석우리치타운,9,21~30,81.9,5-2,27110,6
"    21,000",1993,2007, 남산동,보성황실타운,9,1~10,119.84,2466-1,27110,24
"    13,650",1993,2007, 남산동,보성황실타운,9,1~10,84.99,2466-1,27110,2
"     7,300",1992,2007, 남산동,까치,9,11~20,53.6,2482-1,27110,5
"    20,000",1993,2007, 남산동,보성황실타운,9,11~20,134.96,2466-1,27110,1
"     6,300",1992,2007, 남산동,까치,9,11~20,53.6,2482-1,27110,1
"    30,829",2006,2007, 남산동,허브스카이,9,11~20,99.92,654-1,27110,8
"     4,300",1992,2007, 남산동,까치,9,11~20,33.06,2482-1,27110,3
"    10,400",1993,2007, 남산동,보성황실타운,9,11~20,59.96,2466-1,27110,20
"    20,460",2007,2007, 대봉동,센트로팰리스,9,1~10,80.71,60-10,27110,18
"    18,700",1986,2007, 대봉동,청운맨션,9,11~20,105.11,44-10,27110,7
"    22,400",2007,2007, 대봉동,센트로팰리스,9,11~20,80.74,60-10,27110,12
"    21,000",2007,2007, 대봉동,센트로팰리스,9,11~20,80.71,60-10,27110,3
"    50,700",2007,2007, 대봉동,센트로팰리스,9,21~30,153.05,60-10,27110,39
"    42,000",2007,2007, 대봉동,센트로팰리스,9,21~30,129.19,60-10,27110,38
"    18,980",2006,2007, 대봉동,대봉화성파크드림,9,21~30,84.05,152-24,27110,10
"    22,400",2007,2007, 대봉동,센트로팰리스,9,21~30,80.74,60-10,27110,13
"     8,400",1997,2007, 동인동1가,시티타운,10,11~20,59.91,33-1,27110,15
"    10,400",2005,2007, 삼덕동2가,삼덕인베스트,10,21~31,98,149-120,27110,5
"    12,700",2005,2007, 삼덕동2가,삼덕인베스트,10,21~31,122.69,149-120,27110,4
"     5,300",1985,2007, 태평로1가,태평라이프,10,1~10,54.6,1-187,27110,5
"     7,000",1985,2007, 태평로1가,태평라이프,10,1~10,62.79,1-187,27110,7
"    33,000",2006,2007, 대신동,태왕아너스스카이,10,1~10,191.39,305-1,27110,2
"    25,000",1993,2007, 남산동,보성황실타운,10,1~10,163.72,2466-1,27110,15
"    25,262",2006,2007, 남산동,허브스카이,10,1~10,84.88,654-1,27110,18
"     4,350",1992,2007, 남산동,까치,10,11~20,33.06,2482-1,27110,13
"     6,850",1992,2007, 남산동,까치,10,11~20,53.6,2482-1,27110,2
"    15,600",1993,2007, 남산동,보성황실타운,10,11~20,84.99,2466-1,27110,9
